City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
187,Hilo,US,86.0,8/28/2020 22:54,19.73,-155.09,Hilo Hawaiian Hotel
188,Tiksi,RU,44.19,8/28/2020 22:55,71.69,128.87,Arktika
189,Chiang Rai,TH,75.99,8/28/2020 22:58,19.91,99.83,Nak Nakara Hotel
190,Nikolskoye,RU,55.99,8/28/2020 22:54,59.7,30.79,Tourist House - Sablino
191,Nishihara,JP,84.2,8/28/2020 22:58,26.18,127.76,Minshuku Agaihama
192,Shache,CN,61.59,8/28/2020 22:58,38.42,77.24,Delong Hotel
193,Ambon,ID,79.0,8/28/2020 22:58,-3.7,128.18,Swiss-Belhotel Ambon
194,Katsuura,JP,87.8,8/28/2020 22:57,35.13,140.3,Katsuura Hotel Mikazuki
195,Westport,US,82.4,8/28/2020 22:58,41.14,-73.36,The Westport Inn
196,Cheyenne,US,73.4,8/28/2020 22:58,41.14,-104.82,The Historic Plains Hotel & Restaurant
197,Ancud,CL,44.01,8/28/2020 22:58,-41.87,-73.82,Hotel Arena Gruesa
198,Port-Gentil,GA,77.0,8/28/2020 22:58,-0.72,8.78,Fengshui Residence
199,Tura,IN,73.13,8/28/2020 22:57,25.52,90.22,Hotel RIKMAN Continental
200,Vila Velha,BR,72.0,8/28/2020 22:55,-20.33,-40.29,Hotel Vitória Palace
201,Sistranda,NO,51.8,8/28/2020 22:58,63.73,8.83,Hotell Frøya
202,Tongchuan,CN,69.15,8/28/2020 22:58,35.08,109.09,Tongchuan Hotel
203,Torbay,CA,61.0,8/28/2020 22:58,47.67,-52.73,Gallows Cove
204,San Quintin,MX,77.29,8/28/2020 22:57,30.48,-115.95,Old Mill Hotel
205,Harer,ET,63.03,8/28/2020 22:58,9.31,42.13,Amir Cultural Harari Guesthouse
206,Castro,BR,59.54,8/28/2020 22:58,-24.79,-50.01,CHACARA BAILLY
207,Bull Savanna,JM,82.0,8/28/2020 22:58,17.89,-77.59,Big Red's
208,Palauig,PH,82.76,8/28/2020 22:58,15.44,119.9,Myhousebythesea
209,Grand Gaube,MU,69.01,8/28/2020 22:53,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
210,Umba,RU,48.81,8/28/2020 22:58,66.69,34.34,Cedar Grass Beloye More
211,Tasiilaq,GL,42.8,8/28/2020 22:56,65.61,-37.64,The Red House
212,Filingue,NE,83.44,8/28/2020 22:58,14.35,3.32,
213,Vaitape,PF,76.96,8/28/2020 22:58,-16.52,-151.75,Conrad Bora Bora Nui
214,Kotido,UG,67.32,8/28/2020 22:54,2.98,34.13,Loware Joseph Mukasa's Residence
215,Husavik,IS,48.2,8/28/2020 22:58,66.04,-17.34,Bjarnabúð
216,Anloga,GH,77.0,8/28/2020 22:56,5.79,0.9,Dey Lodge
217,Vostok,RU,57.99,8/28/2020 22:58,46.49,135.88,
218,Saint-Georges,GD,86.0,8/28/2020 22:55,12.06,-61.75,Siesta Hotel
219,Hambantota,LK,79.81,8/28/2020 22:58,6.12,81.12,Bungalow 63
220,Chuy,UY,56.35,8/28/2020 22:58,-33.7,-53.46,Nuevo Hotel Plaza
221,Galesong,ID,71.6,8/28/2020 22:58,-5.32,119.37,Sapriadi Appy
222,Muyezerskiy,RU,44.15,8/28/2020 22:58,63.93,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
223,Praia Da Vitoria,PT,77.0,8/28/2020 22:58,38.73,-27.07,Hotel Branco I
224,Tuatapere,NZ,45.0,8/28/2020 22:58,-46.13,167.68,Ron and Tony's Bed & Breakfast
